ID,dataset,NPR1,NPR2
CNP0424904.0,Hasubanan,0.5138508266228352,0.8008309282614758
CNP0202494.1,Hasubanan,0.3784180429686468,0.8487970641342379
CNP0183649.1,Hasubanan,,
CNP0260173.1,Hasubanan,0.32629715850318963,0.8425662554371058
CNP0156932.0,Hasubanan,0.23026298729326897,0.8915565752160141
CNP0530114.1,Hasubanan,0.476444891800254,0.8885023319755971
CNP0188190.0,Hasubanan,0.4076078618645646,0.9238349167934247
CNP0425213.0,Hasubanan,0.4221113546836444,0.8279699565184366
CNP0543853.0,Hasubanan,0.35546339531243004,0.8453823618542188
CNP0121585.0,Hasubanan,0.34565224045970916,0.8745831820281853
CNP0545999.0,Hasubanan,0.25102219870806364,0.8896962139652997
CNP0424970.0,Hasubanan,0.3560529635254541,0.8758248951976599
CNP0183649.4,Hasubanan,,
CNP0283438.0,Hasubanan,0.34118654377008434,0.9495623308895869
CNP0081299.2,Hasubanan,0.4465485543090563,0.868435698661115
CNP0275234.2,Hasubanan,0.48579896648842646,0.7790645947891935
CNP0151296.0,Hasubanan,0.32597252715835473,0.864375361445587
CNP0426576.0,Hasubanan,0.47543567164935074,0.7739391275763563
CNP0424335.1,Hasubanan,0.31678068310813123,0.8647350128184275
CNP0220872.0,Hasubanan,0.35609822592278106,0.9462154007097057
CNP0221538.2,Hasubanan,0.429427831736562,0.9118613428408048
CNP0425213.1,Hasubanan,,
CNP0221538.5,Hasubanan,,
CNP0305874.0,Hasubanan,0.47263992246080744,0.8139568707107092
CNP0221538.1,Hasubanan,0.429427831736562,0.9118613428408048
CNP0220872.3,Hasubanan,0.39087357732434047,0.9421689860496256
CNP0318161.1,Hasubanan,0.2088279619561589,0.9360962206316336
CNP0305874.1,Hasubanan,0.4726622878064365,0.8139278457111455
CNP0253450.1,Hasubanan,0.4310699047480971,0.932770524471585
CNP0545999.1,Hasubanan,0.2781372977069766,0.8916744277997007
CNP0081299.1,Hasubanan,,
CNP0258726.1,Hasubanan,0.39047879876329544,0.921380300381557
CNP0129118.0,Hasubanan,0.5224957821106051,0.8302438960130767
CNP0188049.2,Hasubanan,0.23234601520476855,0.8947603710831803
CNP0081298.2,Hasubanan,0.4414058573461882,0.8575685025780267
CNP0217779.0,Hasubanan,0.5149637052896073,0.8688255017891475
CNP0425428.1,Hasubanan,0.3403871990907724,0.8894568348812928
CNP0085530.0,Hasubanan,0.44507171355607217,0.935841142588911
CNP0129118.2,Hasubanan,,
CNP0424377.1,Hasubanan,,
CNP0081298.0,Hasubanan,0.3992247382769826,0.8771308719119242
CNP0188049.3,Hasubanan,0.272157857018602,0.8946734621193494
CNP0424213.0,Hasubanan,0.36325838211493167,0.8489868380726507
CNP0141682.3,Hasubanan,,
CNP0188190.3,Hasubanan,,
CNP0218907.1,Hasubanan,0.3155467282015506,0.8656093835373223
CNP0424186.1,Hasubanan,0.3419038393152445,0.8871582149721834
CNP0424970.1,Hasubanan,,
CNP0121585.1,Hasubanan,,
CNP0129118.1,Hasubanan,0.5165894624979004,0.8407425837454131
CNP0424186.0,Hasubanan,0.3694343275270882,0.8684468437142614
CNP0426576.1,Hasubanan,,
CNP0227329.2,Hasubanan,,
CNP0318161.0,Hasubanan,0.21924601817931844,0.918217937645856
CNP0183649.0,Hasubanan,0.3733056586301324,0.9386975647955363
CNP0188190.1,Hasubanan,0.4595479074680682,0.9375945343514377
CNP0275234.0,Hasubanan,0.5183909144381859,0.7416894584205783
CNP0188049.4,Hasubanan,0.2675075346133858,0.8571528250997473
CNP0081299.0,Hasubanan,0.4499905883057843,0.8993532743484726
CNP0183649.2,Hasubanan,0.35680167790523953,0.9322905022213469
CNP0148948.0,Hasubanan,0.4061393312252514,0.9468499980298303
CNP0220872.2,Hasubanan,0.3886736248357379,0.9332811142008103
CNP0253450.0,Hasubanan,0.43106945241331907,0.9389657375783157
CNP0148948.2,Hasubanan,,
CNP0174146.2,Hasubanan,,
CNP0174146.0,Hasubanan,0.4266884038023201,0.9245516728963474
CNP0268936.3,Hasubanan,0.42296146345432833,0.9034680349720452
CNP0424213.1,Hasubanan,0.34882003319007837,0.8808981898774179
CNP0283438.1,Hasubanan,0.3388593866792998,0.9497669887350118
CNP0424377.0,Hasubanan,0.3968836431658239,0.9516542571274416
CNP0227329.0,Hasubanan,0.41204190806512686,0.8964607199796072
CNP0258726.0,Hasubanan,0.42281284626129323,0.9519645824996553
CNP0424335.0,Hasubanan,0.32118401269186275,0.8640566990075591
CNP0221538.4,Hasubanan,,
CNP0217779.1,Hasubanan,0.43938925481245267,0.929148946894117
CNP0141682.1,Hasubanan,0.38090343908176033,0.9179210792065692
CNP0424377.2,Hasubanan,0.44330799838690166,0.9415383017217307
