ID,dataset,NPR1,NPR2
Mesembrine,Sceletium,0.32254617763302595,0.8279816430877515
Mesembrenone,Sceletium,0.30887153496263103,0.9110677456024496
D7-Mesembrenone,Sceletium,0.44835657676775253,0.9881410033275265
Mesembranol,Sceletium,0.36725095099680033,0.8485579727513128
4'-O-demethylmesembranol,Sceletium,0.40491951821432126,0.9273971664832309
Mesembrenol,Sceletium,0.30143213986095085,0.8879787899262592
4'-O-demethylmesembrenol,Sceletium,0.38910498420325723,0.8988997337458184
4'-O-demethylmesembrenone,Sceletium,0.3086345618281083,0.8381347523888059
Sceletenone,Sceletium,0.3048157452454477,0.8487763197843619
N-demethyl-N-formyl-mesembrenone,Sceletium,0.3133030658715161,0.8234378725625805
O-acetylmesembrenol,Sceletium,0.5480624892638029,0.8654553174888139
Mesembrane,Sceletium,0.30517212678820493,0.8556321777301364
N-demethylmesembranol,Sceletium,0.32985097776231165,0.8532827384900651
N-demethylmesembrenol,Sceletium,0.32841264154447924,0.8178793273734694
Sceletium A4,Sceletium,0.307637866578466,0.8574348564068647
