ID,dataset,NPR1,NPR2
Z2064095494,enamine,0.13833803455393034,0.9497102496068346
Z9033877608,enamine,0.12019603666480849,0.9705155598988561
Z8843144224,enamine,0.20348595280489182,0.9643129816845022
Z7554084012,enamine,0.24371263256932715,0.9038262692996244
Z6346604508,enamine,0.21371373378010408,0.8552701572022676
Z9087034993,enamine,0.36763796900878265,0.8407423665191682
Z1895208684,enamine,0.3901855298481568,0.7434856382606546
Z241351186,enamine,0.13573278400449654,0.9492730209259975
Z6290150617,enamine,0.17420897756984866,0.9239744842107419
Z9079770103,enamine,0.17038125967062112,0.9380386232838112
Z6198908200,enamine,0.14567319911736418,0.9620219462669931
Z9240165399,enamine,0.08083324242283454,0.9458225800019306
Z8961863144,enamine,0.16879708144410957,0.8988314545402967
Z2397136879,enamine,0.22590341832926839,0.8977272861957403
Z8878860430,enamine,0.10980373937828938,0.9284247879514254
Z2677387818,enamine,0.1440666543303559,0.9543116070860633
Z9078810638,enamine,0.29906679948690756,0.8117709132034859
Z5187802958,enamine,0.1500152580423566,0.9762112431949949
Z1756388676,enamine,0.14026576632326915,0.9382601692653285
Z9092610896,enamine,0.11205565579828665,0.8951369627213054
Z3711525997,enamine,0.5691991584916133,0.8866210564345856
Z8928343146,enamine,0.1748621477335452,0.8949418525104428
Z1422165073,enamine,0.2182352025233551,0.9067414092684754
Z8784700109,enamine,0.13352005573738168,0.9241842571785394
Z9255351416,enamine,0.3523671413458164,0.7463337058203959
Z8788890420,enamine,0.07660755695957133,0.9689537554750637
Z7349845156,enamine,0.20469654568938048,0.9458849165448208
Z5379284801,enamine,0.46333828652192816,0.716791712851497
Z7552308043,enamine,0.4330952112469811,0.7184709768863041
Z1753122210,enamine,0.10211324718302375,0.9756520736199497
Z9308453504,enamine,0.1270586140165373,0.911090883192992
Z9405224763,enamine,0.09861231610667118,0.9631921412175036
Z9254563983,enamine,0.20203599977543704,0.8286808125178149
Z8902116018,enamine,0.20405716046051697,0.8782132098405141
Z8206892002,enamine,0.4521642406067873,0.8377087438151952
Z9081876160,enamine,0.16934374987241166,0.9547006600642678
Z2361575980,enamine,0.2200064561808308,0.9532152245622009
Z2472982301,enamine,0.55830992449264,0.6982049325533286
Z3206836993,enamine,0.11854288476846919,0.9443683205376462
Z2053597786,enamine,0.1776876807748771,0.9308601440861918
Z1796831173,enamine,0.20015105006531816,0.9237119189705528
Z3863534222,enamine,0.164470304613414,0.9423821268339081
Z9327964514,enamine,0.3860858227792751,0.7219576718836226
